"event_type","event_count","utility_id"
"Activated","884","1"
"ActivationLinkClicked","3","1"
"BadgeAwarded","1224","1"
"Enrolled","1","1"
"EnrollEmailOpened","7","1"
"EnrollEmailSent","41","1"
"LoggedIn","3172","1"
"OptOutByUtility","0","1"
"OptOutSelf","816","1"
"PaperToWeb","0","1"
"ProgramReferred","395","1"
"ProgramVerified","10","1"
"RewardRedeemed","359","1"
"TipCompleted","1091","1"
"Unsubscribed","1138","1"
"Activated","0","2"
"ActivationLinkClicked","0","2"
"BadgeAwarded","43","2"
"Enrolled","61","2"
"EnrollEmailOpened","0","2"
"EnrollEmailSent","1","2"
"LoggedIn","98","2"
"OptOutByUtility","0","2"
"OptOutSelf","1315","2"
"PaperToWeb","0","2"
"ProgramReferred","0","2"
"ProgramVerified","0","2"
"RewardRedeemed","0","2"
"TipCompleted","33","2"
"Unsubscribed","0","2"
"Activated","31","3"
"ActivationLinkClicked","0","3"
"BadgeAwarded","85","3"
"Enrolled","46","3"
"EnrollEmailOpened","0","3"
"EnrollEmailSent","0","3"
"LoggedIn","156","3"
"OptOutSelf","0","3"
"ProgramReferred","34","3"
"ProgramVerified","27","3"
"RewardRedeemed","4","3"
"TipCompleted","84","3"
"Activated","1005","4"
"ActivationLinkClicked","0","4"
"BadgeAwarded","1459","4"
"Enrolled","2271","4"
"EnrollEmailOpened","0","4"
"EnrollEmailSent","0","4"
"LoggedIn","2483","4"
"OptOutSelf","0","4"
"ProgramReferred","0","4"
"ProgramVerified","0","4"
"RewardRedeemed","0","4"
"TipCompleted","1311","4"
