timestamp,set_temp,t1,t2,t3,relay_state
1437896521,25,22.38,20.19,19.88,1
1437896529,25,22.56,20.19,19.88,1
1437896537,25,22.5,20.19,19.94,1
1437896544,25,22.56,20.19,19.88,1
1437896552,25,22.5,20.19,19.88,1
1437896559,25,22.5,20.13,19.88,1
1437896567,25,22.5,20.19,19.88,1
1437896576,25,22.44,20.13,19.88,1
1437896583,25,22.44,20.13,19.88,1
1437896592,25,22.44,20.19,19.88,1
1437896599,20,22.44,20.13,19.88,0
1437896607,20,22.5,20.13,19.88,0
1437896614,20,22.5,20.13,19.88,0
1437896622,20,22.5,20.13,19.88,0
1437896629,20,22.44,20.13,19.88,0
1437896637,20,22.5,20.06,19.88,0
1437896644,20,22.44,20.13,19.88,0
1437896653,20,22.63,20.13,19.88,0
1437896660,20,22.5,20.19,19.88,0
1437896668,20,22.44,20.19,19.88,0
1437896677,20,22.31,20.19,19.88,0
1437896684,25,22.38,20.13,19.88,1
1437896692,25,22.44,20.19,19.81,1
1437896699,25,22.44,20.13,19.81,1
1437896707,25,22.56,20.13,19.81,1
1437896714,20,22.63,20.13,19.81,0
1437896722,20,22.69,20.13,19.75,0
1437896730,22,22.69,20.19,19.75,1
1437896738,22,22.75,20.13,19.75,1
1437896746,22,22.81,20.13,19.75,1
1437896754,22,22.81,20.19,19.75,1
1437896761,22,22.81,20.19,19.69,1
1437896769,22,22.75,20.19,19.75,1
1437896778,22,22.69,20.31,19.75,1
1437896785,22,22.75,20.44,19.75,1
1437896793,22,22.75,20.5,19.75,1
1437896800,22,22.75,20.63,19.75,1
1437896808,22,22.69,20.69,19.75,1
1437896815,22,22.63,20.81,19.81,1
1437896824,22,22.63,20.94,19.81,1
1437896831,22,22.63,21.06,19.81,0
1437896839,22,22.5,21.06,19.88,0
1437896847,22,22.44,21.38,19.88,0
1437896855,22,22.44,21.44,19.94,0
1437896862,22,22.44,21.56,20.0,0
1437896870,22,22.5,21.69,19.94,0
1437896878,22,22.56,21.69,20.0,0
1437896885,22,22.56,21.81,20.06,0
1437896894,22,22.56,21.88,20.06,0
1437896901,22,22.56,21.88,20.06,0
1437896909,22,22.5,21.88,20.13,0
1437896916,22,22.44,21.88,20.13,0
1437896924,22,22.38,21.88,20.13,0
1437896931,22,22.38,21.94,20.19,0
1437896939,22,22.25,21.88,20.19,0
1437896946,22,22.19,21.88,20.19,0
1437896954,22,22.06,21.88,20.19,0
1437896961,22,22.06,21.81,20.19,0
1437896969,22,22.06,21.88,20.25,0
1437896976,22,22.0,21.81,20.19,0
1437896985,22,22.06,21.81,20.25,0
1437896992,22,22.0,21.81,20.25,0
1437897000,22,22.0,21.75,20.25,0
1437897007,22,21.94,21.69,20.25,0
1437897015,22,21.94,21.69,20.25,0
1437897022,22,21.94,21.69,20.31,0
1437897030,22,21.94,21.63,20.31,0
1437897038,22,21.94,21.63,20.25,0
1437897046,22,21.88,21.56,20.25,0
1437897053,22,21.88,21.56,20.25,0
1437897061,22,21.94,21.5,20.31,0
1437897068,22,21.88,21.5,20.31,0
1437897076,22,21.88,21.44,20.31,0
1437897086,22,21.94,21.44,20.31,0
1437897093,22,21.94,21.44,20.31,0
1437897101,22,21.94,21.38,20.25,0
1437897109,22,21.94,21.38,20.31,0
1437897116,22,21.88,21.38,20.25,0
1437897124,22,21.94,21.31,20.31,0
1437897132,22,21.94,21.31,20.25,0
1437897139,22,21.94,21.25,20.25,0
1437897148,22,21.88,21.25,20.25,0
1437897157,22,21.81,21.19,20.31,0
1437897164,22,21.81,21.19,20.25,0
1437897172,22,21.88,21.19,20.25,0
1437897179,22,21.88,21.13,20.25,0
1437897187,22,21.88,21.13,20.25,0
1437897195,22,21.88,21.13,20.25,0
1437897202,22,21.94,21.06,20.25,0
1437897210,22,22.06,21.06,20.25,0
1437897217,22,22.06,21.0,20.25,1
1437897225,22,22.13,21.0,20.25,1
1437897232,22,22.13,21.0,20.19,1
1437897241,22,22.13,20.94,20.19,1
1437897248,22,22.13,21.0,20.19,1
1437897256,22,22.13,21.0,20.19,1
1437897264,22,22.19,21.0,20.19,1
1437897273,22,22.19,21.06,20.19,0
1437897280,22,22.19,21.13,20.19,0
1437897288,22,22.25,21.19,20.19,0
1437897296,22,22.19,21.19,20.19,0
1437897303,22,22.13,21.19,20.19,0
1437897311,22,22.13,21.44,20.25,0
1437897318,22,22.0,21.44,20.25,0
1437897326,22,22.0,21.5,20.25,0
1437897333,22,22.0,21.5,20.25,0
1437897341,22,21.94,21.56,20.25,0
1437897349,22,21.88,21.56,20.31,0
1437897357,22,21.88,21.56,20.31,0
1437897364,22,21.94,21.56,20.31,0
1437897372,22,22.0,21.56,20.31,0
1437897380,22,22.0,21.56,20.31,0
1437897388,22,22.0,21.56,20.31,0
1437897395,22,22.0,21.5,20.31,0
1437897403,22,22.0,21.5,20.31,0
1437897410,22,22.0,21.5,20.31,0
1437897418,22,22.13,21.5,20.31,0
1437897425,22,22.13,21.5,20.31,0
1437897433,22,22.19,21.5,20.31,0
1437897440,22,22.19,21.44,20.31,0
1437897448,22,22.19,21.44,20.31,0
1437897455,22,22.25,21.44,20.31,0
1437897463,22,22.25,21.44,20.31,0
1437897470,22,22.38,21.5,20.31,0
1437897478,22,22.44,21.56,20.38,0
1437897485,22,22.44,21.63,20.44,0
1437897493,22,22.44,21.69,20.44,0
1437897500,22,22.44,21.75,20.56,0
1437897508,22,22.38,21.88,20.69,0
1437897515,22,22.44,21.94,20.75,0
1437897523,22,22.44,22.06,20.75,0
1437897530,22,22.5,22.13,20.94,0
1437897538,22,22.56,22.25,20.94,0
1437897545,22,22.63,22.31,21.13,0
1437897553,22,22.69,22.44,21.19,0
1437897560,22,22.69,22.5,21.25,0
1437897569,22,22.69,22.63,21.38,0
1437897577,22,22.69,22.63,21.44,0
1437897585,22,22.69,22.75,21.5,0
1437897592,22,22.75,22.75,21.63,0
1437897600,22,22.75,22.94,21.69,0
1437897607,22,22.75,23.0,21.75,0
1437897615,22,22.81,23.06,21.75,0
1437897622,22,22.88,23.13,21.88,0
1437897630,22,22.88,23.19,21.94,0
1437897637,22,23.0,23.25,22.0,0
1437897645,22,23.0,23.31,22.0,0
1437897652,22,23.13,23.31,22.13,0
1437897660,22,23.06,23.38,22.13,0
1437897667,22,22.94,23.44,22.25,0
1437897675,22,23.0,23.5,22.25,0
1437897682,22,23.0,23.5,22.31,0
1437897690,22,23.0,23.56,22.38,0
1437897697,22,23.0,23.63,22.44,0
1437897705,22,23.06,23.63,22.5,0
1437897712,22,23.0,23.69,22.5,0
1437897720,22,22.94,23.69,22.56,0
1437897728,22,22.88,23.75,22.56,0
1437897736,22,22.75,23.75,22.63,0
1437897744,22,22.75,23.81,22.69,0
1437897752,22,22.81,23.88,22.75,0
1437897761,22,22.88,23.88,22.75,0
1437897769,22,22.88,23.88,22.81,0
1437897777,22,22.88,23.94,22.81,0
1437897784,22,22.94,23.94,22.88,0
1437897792,22,22.94,24.0,22.88,0
1437897799,22,22.94,24.0,22.94,0
1437897807,22,22.94,24.0,22.94,0
1437897815,22,22.94,24.0,23.0,0
1437897823,22,22.94,24.06,23.0,0
1437897830,22,22.88,24.06,23.0,0
1437897838,22,22.88,24.06,23.06,0
1437897845,22,22.88,24.06,23.06,0
1437897853,22,22.81,24.06,23.06,0
1437897860,22,22.81,24.13,23.06,0
1437897868,22,22.75,24.13,23.13,0
1437897875,22,22.75,24.13,23.13,0
1437897883,22,22.81,24.13,23.13,0
1437897890,22,22.81,24.19,23.19,0
1437897898,22,22.94,24.19,23.19,0
1437897905,22,22.88,24.19,23.19,0
1437897913,22,22.94,24.19,23.19,0
1437897920,22,22.94,24.19,23.25,0
1437897928,22,22.94,24.19,23.25,0
1437897935,22,22.88,24.19,23.25,0
1437897943,22,22.81,24.19,23.25,0
1437897950,22,22.75,24.19,23.25,0
1437897958,22,22.69,24.19,23.25,0
1437897965,22,22.75,24.19,23.31,0
1437897973,22,22.75,24.19,23.31,0
1437897980,22,22.75,24.25,23.31,0
1437897988,22,22.75,24.25,23.31,0
1437897995,22,22.75,24.25,23.31,0
1437898003,22,22.75,24.25,23.31,0
1437898010,22,22.75,24.25,23.31,0
1437898018,22,22.75,24.25,23.31,0
1437898025,22,22.81,24.25,23.31,0
